,,,,,,,,,Score,,,,Passing,,,,,,,,,,Rushing,,,,Total Offense,,,Kicking,,,,Punting,,First Downs,,,,Downs,,,,Penalties,,Turnovers,,,
Tm,Div,Rk,Gtm,Week,Date,Day,Home/Away,Opp,Rslt,Pts,PtsO,OT,Cmp,Att,Cmp%,Yds,TD,Y/A,AY/A,Rate,Sk,Yds,Att,Yds,TD,Y/A,Ply,Tot,Y/P,FGA,FGM,XPA,XPM,Pnt,Yds,Pass,Rsh,Pen,1stD,3DConv,3DAtt,4DConv,4DAtt,Pen,Yds,FL,Int,TO,ToP
Dallas Cowboys,NFC EAST,1,1,1,9/9/2018,Sun,Away,CAR,L,8,16,,19,29,65.5,138,0,4.8,4.76,76.5,6,32,22,94,1,4.3,57,232,4.07,1,0,0,0,6,293,10,4,3,17,2,11,0,1,10,85,1,0,1,29:24:00
Dallas Cowboys,NFC EAST,2,2,2,9/16/2018,Sun,Home,NYG,W,20,13,,16,25,64,160,1,6.4,7.2,95.4,0,0,25,138,1,5.5,50,298,5.96,2,2,2,2,4,173,6,9,1,16,3,10,1,1,6,47,0,0,0,27:48:00
Dallas Cowboys,NFC EAST,3,3,3,9/23/2018,Sun,Away,SEA,L,13,24,,19,34,55.9,137,1,4,1.97,50.7,5,31,19,166,0,8.7,58,303,5.22,2,2,1,1,5,240,8,7,2,17,3,13,1,2,7,55,1,2,3,27:16:00
Dallas Cowboys,NFC EAST,4,4,4,9/30/2018,Sun,Home,DET,W,26,24,,17,27,63,231,2,8.6,10.04,114.9,3,24,35,183,0,5.2,65,414,6.37,4,4,2,2,2,78,12,10,4,26,5,12,1,1,2,20,0,0,0,30:05:00
Dallas Cowboys,NFC EAST,5,5,5,10/7/2018,Sun,Away,HOU,L,16,19,OT,18,29,62.1,194,1,6.7,4.28,64.4,2,14,29,98,0,3.4,60,292,4.87,3,3,1,1,5,220,8,6,0,14,4,14,1,1,7,72,0,2,2,31:32:00
Dallas Cowboys,NFC EAST,6,6,6,10/14/2018,Sun,Home,JAX,W,40,7,,17,27,63,172,2,6.4,7.85,105.8,3,11,42,206,2,4.9,72,378,5.25,4,4,4,4,3,123,10,11,2,23,7,17,2,2,3,25,0,0,0,38:50:00
Dallas Cowboys,NFC EAST,7,7,7,10/21/2018,Sun,Away,WAS,L,17,20,,22,35,62.9,250,1,7.1,7.71,93.7,4,23,22,73,1,3.3,61,323,5.3,2,1,2,2,5,208,10,6,1,17,5,14,1,2,8,65,2,0,2,29:05:00
Dallas Cowboys,NFC EAST,8,8,9,11/5/2018,Mon,Home,TEN,L,14,28,,21,32,65.6,225,2,7,6.88,93.9,5,18,19,72,0,3.8,56,297,5.3,1,0,2,2,3,134,12,5,1,18,5,11,0,1,6,52,1,1,2,25:34:00
Dallas Cowboys,NFC EAST,9,9,10,11/11/2018,Sun,Away,PHI,W,27,20,,26,36,72.2,239,1,6.6,7.19,99.2,4,31,28,171,2,6.1,68,410,6.03,3,2,3,3,4,163,14,9,0,23,8,16,1,1,5,37,0,0,0,33:22:00
